ID_Produto,Nome_Produto,ID_Grupo,Grupo,ID_SubGrupo,SubGrupo,ID_Cor,Cor,Ultima Compra,Qtd Ent,Ultima Venda,Estoque Geral,Custo Estoque,Vr.Estoque,Qtde Ven,Custo Venda,Vr.Venda,Margem,Venda Media,Reposicao,Pr.Venda,ID_Unico
CL41623,CALCA                         ,12,Confeccao                     ,13,CALCA                         ,100,UNICA                         ,13/07/2021,4,01/02/2022,0,0.0,0.0,4,6796.0,88476.0,"30,19",22119.0,16141.0,2999.0,CL41623_100_0
CL41536,CALCA                         ,12,Confeccao                     ,13,CALCA                         ,100,UNICA                         ,10/08/2020,4,15/01/2021,0,0.0,0.0,4,6796.0,8847.0,"30,18",22117.0,16141.0,2999.0,CL41536_100_0
CL41319,CALCA                         ,12,Confeccao                     ,13,CALCA                         ,100,UNICA                         ,10/08/2020,4,13/01/2021,0,0.0,0.0,4,6796.0,88478.0,"30,19",22119.0,16141.0,2999.0,CL41319_100_0
361266,BLUSA                         ,12,Confeccao                     ,12,BLUSA                         ,100,UNICA                         ,09/09/2024,10,21/02/2025,1,599.0,999.0,11,6589.0,88203.0,"33,86",8018.0,599.0,999.0,361266_100_0
LNB,VESTIDO                       ,12,Confeccao                     ,14,VESTIDO                       ,100,UNICA                         ,19/08/2022,9,15/12/2022,0,0.0,0.0,9,5400.0,88141.0,"63,22",9793.0,600.0,1199.0,LNB_100_0
CL41717,CALCA                         ,12,Confeccao                     ,13,CALCA                         ,100,UNICA                         ,13/08/2021,5,19/07/2022,0,0.0,0.0,5,8995.0,88131.0,"2,02",17626.0,17091.0,2999.0,CL41717_100_0
VESTIDO12,VESTIDO                       ,12,Confeccao                     ,14,VESTIDO                       ,100,UNICA                         ,20/06/2023,12,06/03/2025,0,0.0,0.0,13,5200.0,8793.0,"69,1",6763.0,400.0,799.0,VESTIDO12_100_0
190030331,SHORT                         ,12,Confeccao                     ,18,SHORT                         ,100,UNICA                         ,21/09/2023,8,14/03/2024,0,0.0,0.0,9,5031.0,8792.0,"74,76",9768.0,559.0,999.0,190030331_100_0
CL41294,CALCA                         ,12,Confeccao                     ,13,CALCA                         ,100,UNICA                         ,13/07/2021,5,23/05/2022,0,0.0,0.0,5,7845.0,87971.0,"12,14",17594.0,14906.0,2799.0,CL41294_100_0
190110125,CALCA                         ,12,Confeccao                     ,13,CALCA                         ,100,UNICA                         ,29/10/2020,8,29/01/2021,0,0.0,0.0,10,2845.0,87929.0,"209,07",8792.0,2845.0,999.0,190110125_100_0
